CD_MUN,NM_MUN,CNAE_section,MPI
4306759,Doutor Ricardo,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.016050280954230323
4306767,Eldorado do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.04541807463817879
4306809,Encantado,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02499043963151804
4306908,Encruzilhada do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005852860948125117
4306924,Engenho Velho,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01471155403448979
4306957,Entre Rios do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010635032572015155
4306973,Erebango,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.022077997380548765
4307005,Erechim,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.015242336451196442
4307054,Ernestina,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01808375464731622
4307104,Herval,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005097903039797771
4307203,Erval Grande,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010355051102045236
4307302,Erval Seco,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008933570926040425
4307401,Esmeralda,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010007713314504653
4307450,Esperança do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.007898129510995897
4307500,Espumoso,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.017440149930606736
4307559,Estação,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.038181305408322645
4307609,Estância Velha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.06587699045395305
4307708,Esteio,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.1116204735454368
4307807,Estrela,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.06103824816928377
4307815,Estrela Velha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.014722693527609113
4307831,Eugênio de Castro,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010403542576303448
4307864,Fagundes Varela,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.020973588739162056
4307906,Farroupilha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.037168426242723804
4308003,Faxinal do Soturno,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01137703315640121
4308052,Faxinalzinho,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010931597520103628
4308078,Fazenda Vilanova,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02851088430217795
4308102,Feliz,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.04051309160925647
4308201,Flores da Cunha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03913325973471958
4308250,Floriano Peixoto,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.014884323507828888
4308300,Fontoura Xavier,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.011080108343663353
4308409,Formigueiro,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.00711873654997973
4308433,Forquetinha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02091185754994843
4308458,Fortaleza dos Valos,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.013771214590524357
4308508,Frederico Westphalen,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.007786476580781443
4308607,Garibaldi,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.06445370914167582
4308656,Garruchos,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0024205254693797566
4308706,Gaurama,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.018064950277884427
4308805,General Câmara,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.26717254658947476
4308854,Gentil,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.018737556166014822
4308904,Getúlio Vargas,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03323647714069812
4309001,Giruá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009130084792683613
4309050,Glorinha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.017715886359600315
4309100,Gramado,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0308670337301734
4309126,Gramado dos Loureiros,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01380813154403793
4309159,Gramado Xavier,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009197064873437518
4309209,Gravataí,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03378610017324904
4309258,Guabiju,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02132983259524936
4309308,Guaíba,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.052518298400938294
4309407,Guaporé,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.017674900589976294
4309506,Guarani das Missões,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008312893286068108
4309555,Harmonia,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.05609583215083918
4309571,Herveiras,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009484351368788594
4309605,Horizontina,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010224314274585394
4309654,Hulha Negra,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010596688969699305
4309704,Humaitá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01345396590452256
4309753,Ibarama,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009116868866260109
4309803,Ibiaçá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01490973985268235
4309902,Ibiraiaras,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.013473066480818627
4309951,Ibirapuitã,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.016114902464868398
4310009,Ibirubá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.016207350248582386
4310108,Igrejinha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02624554195482714
4310207,Ijuí,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.012468228785889613
4310306,Ilópolis,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.015089555777289905
4310330,Imbé,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.05923640348288619
4310363,Imigrante,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.028906731495143986
4310405,Independência,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.020560217855551895
4310413,Inhacorá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.015152742790330737
4310439,Ipê,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.047314907342925774
4310462,Ipiranga do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01809329402566951
4310504,Iraí,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005340649469257428
